model,dataset,variable,coefficient,p_value,lower_ci,upper_ci,std_err,significant
GPT-4o,general_surgery,Intercept,0.7693617936622433,8.018982540165596e-05,0.3870124988023796,1.1517110885221071,0.1950797554831549,True
GPT-4o,general_surgery,source[T.Family Doctor],-0.1989624859246259,0.0123007574699175,-0.3547345627428863,-0.0431904091063655,0.0794770098057773,True
GPT-4o,general_surgery,source[T.Internet],-0.0791007875316312,0.3583516034911669,-0.2478900121149496,0.0896884370516872,0.0861185337662866,False
GPT-4o,general_surgery,source[T.Na],-0.0942737337057425,0.1727107270684145,-0.2297830759311281,0.0412356085196429,0.0691386899423999,False
GPT-4o,general_surgery,source[T.Specialist],-0.2465133517514884,0.0031327606591719,-0.410051475815568,-0.0829752276874087,0.083439351617707,True
GPT-4o,general_surgery,gender[T.Male],-0.0142134073114956,0.6280844973037973,-0.07172031565337,0.0432935010303787,0.0293407985021569,False
GPT-4o,general_surgery,gender[T.Na],-0.0202091128620678,0.6199801387869626,-0.1000858037966347,0.0596675780724989,0.0407541626094275,False
GPT-4o,general_surgery,second_agree_first,-0.3896362558683017,0.0685754561915095,-0.8089588218481653,0.0296863101115618,0.2139440159551024,False
GPT-4o,general_surgery,prior_correctness,1.5461526640106502,7.752778175276258e-14,1.1407176437390596,1.9515876842822408,0.2068584032510854,True
GPT-4o,general_surgery,age,-0.0004127712080635,0.6347273828866885,-0.0021156645326028,0.0012901221164756,0.000868839089887,False
GPT-4o,general_surgery,experience,-0.0047742173409393,0.0002444198048425,-0.0073252532226731,-0.0022231814592056,0.0013015728359582,True
GPT-4o,pediatrics,Intercept,1.2388450063774656,6.493208254536913e-05,0.6309300754056392,1.846759937349292,0.310166378447248,True
GPT-4o,pediatrics,source[T.Family Doctor],-0.2207035609174259,0.096231387336765,-0.4807550958003044,0.0393479739654524,0.1326817925911556,False
GPT-4o,pediatrics,source[T.Internet],-0.2087847755339308,0.1338154458802826,-0.4817330148409685,0.0641634637731068,0.1392618647383414,False
GPT-4o,pediatrics,source[T.Na],-0.1776228798998845,0.1143560474024612,-0.3981128497575108,0.0428670899577416,0.1124969497382722,False
GPT-4o,pediatrics,source[T.Specialist],-0.2386861231522499,0.1128295225210813,-0.5337261617804794,0.0563539154759796,0.1505333980396924,False
GPT-4o,pediatrics,gender[T.Male],0.0110712790381002,0.7947835817826252,-0.0723542405240091,0.0944967986002097,0.0425648227315192,False
GPT-4o,pediatrics,gender[T.Na],0.0759684384738976,0.2527884519161077,-0.0542301057047699,0.2061669826525652,0.0664290493119552,False
GPT-4o,pediatrics,second_agree_first,-0.6701164165303708,0.073965172550408,-1.4051639404909968,0.0649311074302552,0.3750311382038584,False
GPT-4o,pediatrics,prior_correctness,1.480366257565619,3.0881343039828834e-05,0.7840483826471321,2.1766841324841053,0.3552707500805898,True
