variable,model,coefficient,std_err,p_value,significant,sig_level
Intercept,DeepSeek R1 8B,0.5731660050284849,0.1336946504217113,0.0001834491190398158,3,***
Intercept,GPT-4o,0.8754888871410144,0.2425764403388392,0.06679407278820423,4,
age,DeepSeek R1 8B,0.0001911345146255,0.0010354707966874334,0.4779992183652177,0,
age,GPT-4o,-0.00058884139502278,0.0011458170616928,0.25256967274778913,1,
experience,DeepSeek R1 8B,0.0002225898969654,0.0011293393375908,0.6040810020276188,0,
experience,GPT-4o,-0.0025756265409653,0.0013368544924089998,0.15586293111750188,2,
gender[T.Male],DeepSeek R1 8B,-0.024297407762644534,0.02073895627825083,0.24301804755111833,0,
gender[T.Male],GPT-4o,0.020174691616004402,0.0283038683284202,0.4795920744880884,1,
gender[T.Na],DeepSeek R1 8B,-0.045954445719891025,0.038106844581245636,0.3709218537480514,1,
gender[T.Na],GPT-4o,0.026791413249870423,0.04715105917409636,0.4748365707378957,0,
prior_correctness,DeepSeek R1 8B,0.20192741605801245,0.15799900578450818,0.254962095722935,0,
prior_correctness,GPT-4o,1.4479073878794895,0.26451233847977,0.0009850210574204586,5,***
second_agree_first,DeepSeek R1 8B,-0.915115608617273,0.15848860281202906,1.072486514299849e-06,3,***
second_agree_first,GPT-4o,-0.5287907789579717,0.26301254504051946,0.1140424752813735,2,
source[T.Family Doctor],DeepSeek R1 8B,-0.0298702492085243,0.07248811597791517,0.6767250360341976,0,
source[T.Family Doctor],GPT-4o,-0.09390206089384097,0.08978346078637729,0.5151182722419275,1,
source[T.Internet],DeepSeek R1 8B,0.0330990205311658,0.08530245696778177,0.5537875468266044,0,
source[T.Internet],GPT-4o,-0.09282136189671641,0.09125343471412053,0.45190533512007025,0,
source[T.Na],DeepSeek R1 8B,-0.025835394770635196,0.06767088961303563,0.707151629536155,0,
source[T.Na],GPT-4o,-0.058032364967044336,0.07637926374223912,0.5245506980715529,0,
source[T.Specialist],DeepSeek R1 8B,-0.023063693625928,0.07194687373843171,0.7509491540178072,0,
source[T.Specialist],GPT-4o,-0.14962849176916318,0.09847051447791434,0.20203562721334198,1,
